epoch,loss_box,loss_obj,loss_cls,loss_kd,loss_total,mAP50_T2,P_T2,R_T2,F1_T2,mAP50_T1,P_T1,R_T1,F1_T1,lr
0,0.05747384577989578,0.0005754849407821894,0.0,0.07906758785247803,0.1371169239282608,0.401086057872332,0.6339066360259854,0.40130966798310164,0.4914776953390024,0.664731174726302,0.6465910286013569,0.6613500146553011,0.6538872504172666,0.0009990232305719944
1,0.04494400694966316,0.0006444789469242096,0.0,0.07880362868309021,0.12439211457967758,0.40034589783296676,0.6235459346059388,0.40714849110220314,0.4926305606694144,0.6501375994506399,0.6254865790758336,0.6529257295743943,0.638911684780747,0.0009960967771506667
2,0.04030082747340202,0.0006576117593795061,0.0,0.07764852046966553,0.11860695481300354,0.4144898617096112,0.6245804117547027,0.42279391902842756,0.5042491347610426,0.6560771542367696,0.6311102084830594,0.659102545046161,0.6448027171921411,0.000991232189110701
3,0.03777912259101868,0.0006626115646213293,0.0,0.07730625569820404,0.11574798822402954,0.39255851916253565,0.6051463267698632,0.4094391200527277,0.4884173734439896,0.6399694732182809,0.6189888014871743,0.6507952237031165,0.6344936580426745,0.0009844486647586726
4,0.03620074689388275,0.0006643939996138215,0.0,0.0768449679017067,0.11371010541915894,0.4137597896953003,0.6383094711746975,0.4193687804561809,0.5061786305379822,0.6463390382887698,0.6271237276711381,0.6511255346909115,0.6388992890833693,0.000975772975566101
5,0.034840136766433716,0.0006658672937192023,0.0,0.0767599418759346,0.112265944480896,0.41123380423682715,0.6252246695816815,0.4218755064775097,0.5038046600941364,0.6376220668412125,0.6126534201691485,0.6514330410220236,0.6314483903533784,0.0009652393605146845
6,0.03384631127119064,0.0006656635086983442,0.0,0.07591468095779419,0.1104266569018364,0.4096059961159226,0.6180848593365802,0.42245896856868104,0.5018827370086018,0.6377746407692245,0.6255184368173536,0.6373515664998596,0.6313795632691781,0.0009528893909706797
7,0.03308529779314995,0.0006659890059381723,0.0,0.07566754519939423,0.1094188317656517,0.4185941617961978,0.6186106429788024,0.43257231148231784,0.509128947735046,0.6426928256995434,0.61570123168395,0.6527110274323276,0.6336661927310181,0.0009387718066217125
8,0.032329902052879333,0.0006651646690443158,0.0,0.07503692060709,0.1080319881439209,0.40805292058969733,0.6176191070884447,0.4287240750951605,0.5061210986150988,0.6428690027909486,0.6274111282292878,0.6472278650349303,0.6371654518164007,0.0009229423231234974
9,0.03162059932947159,0.0006653981981799006,0.0,0.07439612597227097,0.10668212175369263,0.4051311701726219,0.6003969836493634,0.42305323551339263,0.49636002175686067,0.6273701872144559,0.5961679185679131,0.6440568795520983,0.6191878277292191,0.000905463412215599
10,0.031023727729916573,0.0006637732731178403,0.0,0.07387927919626236,0.10556678473949432,0.3973280144739524,0.6128698580160974,0.4160084710051755,0.4956058366997916,0.6237487401739042,0.607273845686171,0.6372029265553518,0.6218784959638481,0.0008864040551740157
11,0.030473483726382256,0.0006631255382671952,0.0,0.07333013415336609,0.1044667437672615,0.40971384592233046,0.6044461866610655,0.42846646713703795,0.5014652908371542,0.6279273742420917,0.6214634327014055,0.628079070270023,0.624753738411795,0.0008658394705735988
12,0.029968617483973503,0.0006632872391492128,0.0,0.07257148623466492,0.10320339351892471,0.42833377663129085,0.6063334448589651,0.44353923782563126,0.5123148329057492,0.6426185604940557,0.6159154461724758,0.6390691836363936,0.6272787284007381,0.0008438508174347008
13,0.029512042179703712,0.0006622069049626589,0.0,0.07246626913547516,0.10264051705598831,0.4216608542365784,0.6169465818073272,0.4365268878780348,0.5112872399601656,0.6356003110210103,0.6114393154019707,0.646317406034114,0.6283947691039363,0.0008205248749256015
14,0.029038920998573303,0.0006608513067476451,0.0,0.07143597304821014,0.1011357456445694,0.41324924300176913,0.6048315187655516,0.4274724206113386,0.5009160258456545,0.6294956569108586,0.6081026327728523,0.6323715520768242,0.6199996910942116,0.0007959536998847743
15,0.028616715222597122,0.000659469049423933,0.0,0.07081107795238495,0.10008726269006729,0.4303580361333532,0.6206220970241079,0.4446119628904555,0.5180758279419091,0.6449453579455069,0.6157548945369975,0.6555021552791953,0.6350071538263248,0.0007702342635146033
16,0.028227845206856728,0.0006590204429812729,0.0,0.0705600380897522,0.09944690763950348,0.4208122389926563,0.6002674716492175,0.4439930416743201,0.510436959274581,0.6374417953707434,0.6240537346417645,0.6290934339987001,0.6265634504068964,0.000743468068680349
17,0.027851352468132973,0.0006583621725440025,0.0,0.06958536058664322,0.09809507429599762,0.4165438262077493,0.6050881770439827,0.43058421843091915,0.5031348154737736,0.6381917547979197,0.6265425757987698,0.6222070324908556,0.6243672778418413,0.0007157607493247109
18,0.027534594759345055,0.0006578265456482768,0.0,0.06929140537977219,0.09748382866382599,0.4132058994619517,0.6088736955181728,0.43183974305322015,0.5052992504552827,0.6357392073984292,0.6044155287016083,0.6501841920654048,0.6264650241758165,0.0006872216535789157
19,0.027080291882157326,0.000657249940559268,0.0,0.06881465017795563,0.09655219316482544,0.40898805782503056,0.5864502154267281,0.42886947293823335,0.4954313359166687,0.6341537095078776,0.6139094465137659,0.6283175609836661,0.6210299466527405,0.0006579634122155991
20,0.02671942673623562,0.0006556580192409456,0.0,0.06804706156253815,0.09542214870452881,0.42167051232503056,0.5817842070596136,0.4528638264308327,0.5092920754456298,0.6346894519994066,0.6103683223523194,0.6383409584689942,0.6240413295450559,0.0006281014941466031
21,0.026255954056978226,0.0006546641234308481,0.0,0.06724049150943756,0.09415110945701599,0.4159777554805731,0.6088980941077129,0.43393625347147424,0.5067400365482465,0.6369885714813956,0.6248288483062109,0.6309435333366364,0.6278713038189828,0.0005977537507199337
22,0.02602444589138031,0.0006537287845276296,0.0,0.06673933565616608,0.09341751039028168,0.41157168317737863,0.599145136129567,0.4274724206113386,0.4989550781731939,0.6315944904111599,0.6013875931929995,0.6439563197556556,0.6219444078581081,0.0005670399506143307
23,0.025626080110669136,0.0006526060751639307,0.0,0.0662926584482193,0.09257134795188904,0.42104427668823396,0.6237671474447558,0.43749932469665376,0.5142868693936771,0.64139886590604,0.618391973780034,0.6452092003541594,0.6315160179895076,0.0005360813071670102
24,0.0252232663333416,0.0006520014139823616,0.0,0.06549085676670074,0.09136612713336945,0.42691745603673303,0.6098205655387336,0.44192931464813995,0.5124746665794526,0.6371433331075692,0.607129451517963,0.6472019993264113,0.6265256198556802,0.0005050000000000001
25,0.024950681254267693,0.0006510133389383554,0.0,0.06486766040325165,0.0904693529009819,0.41169890252571884,0.5681386958736033,0.44203736318354203,0.4972173489854942,0.6285507548251454,0.6064024698639149,0.6357991048572231,0.6207529524493455,0.0004739186928329898
