epoch,loss_box,loss_obj,loss_cls,loss_kd,loss_total,mAP50_T2,P_T2,R_T2,F1_T2,mAP50_T1,P_T1,R_T1,F1_T1,lr,loss_det,kd_ratio,FM
0,0.0574738457798957,0.0005754849407821,0.0,0.079067587852478,0.1371169239282608,0.401086057872332,0.6339066360259854,0.4013096679831016,0.4914776953390024,0.664731174726302,0.6465910286013569,0.6613500146553011,0.6538872504172666,0.0009990232305719,0.0580493307206778,1.3620757874293836,-0.007768825273697932
1,0.0449440069496631,0.0006444789469242,0.0,0.0788036286830902,0.1243921145796775,0.4003458978329667,0.6235459346059388,0.4071484911022031,0.4926305606694144,0.6501375994506399,0.6254865790758336,0.6529257295743943,0.638911684780747,0.0009960967771506,0.0455884858965873,1.7285862237258631,-0.022362400549360117
2,0.040300827473402,0.0006576117593795,0.0,0.0776485204696655,0.1186069548130035,0.4144898617096112,0.6245804117547027,0.4227939190284275,0.5042491347610426,0.6560771542367696,0.6311102084830594,0.659102545046161,0.6448027171921411,0.0009912321891107,0.0409584392327815,1.8957880701084657,-0.016422845763230387
3,0.0377791225910186,0.0006626115646213,0.0,0.077306255698204,0.1157479882240295,0.3925585191625356,0.6051463267698632,0.4094391200527277,0.4884173734439896,0.6399694732182809,0.6189888014871743,0.6507952237031165,0.6344936580426745,0.0009844486647586,0.0384417341556399,2.01099813507896,-0.03253052678171908
4,0.0362007468938827,0.0006643939996138,0.0,0.0768449679017067,0.1137101054191589,0.4137597896953003,0.6383094711746975,0.4193687804561809,0.5061786305379822,0.6463390382887698,0.6271237276711381,0.6511255346909115,0.6388992890833693,0.0009757729755661,0.036865140893496504,2.0844886534308262,-0.02616096171123017
5,0.0348401367664337,0.0006658672937192,0.0,0.0767599418759346,0.112265944480896,0.4112338042368271,0.6252246695816815,0.4218755064775097,0.5038046600941364,0.6376220668412125,0.6126534201691485,0.6514330410220236,0.6314483903533784,0.0009652393605146,0.035506004060152904,2.1618862472873315,-0.03487793315878751
6,0.0338463112711906,0.0006656635086983,0.0,0.0759146809577941,0.1104266569018364,0.4096059961159226,0.6180848593365802,0.422458968568681,0.5018827370086018,0.6377746407692245,0.6255184368173536,0.6373515664998596,0.6313795632691781,0.0009528893909706,0.034511974779888904,2.1996620430956058,-0.034725359230775465
7,0.0330852977931499,0.0006659890059381,0.0,0.0756675451993942,0.1094188317656517,0.4185941617961978,0.6186106429788024,0.4325723114823178,0.509128947735046,0.6426928256995434,0.61570123168395,0.6527110274323276,0.6336661927310181,0.0009387718066217,0.033751286799088,2.241915860796066,-0.02980717430045654
8,0.0323299020528793,0.0006651646690443,0.0,0.07503692060709,0.1080319881439209,0.4080529205896973,0.6176191070884447,0.4287240750951605,0.5061210986150988,0.6428690027909486,0.6274111282292878,0.6472278650349303,0.6371654518164007,0.0009229423231234,0.0329950667219236,2.2741860544551487,-0.02963099720905138
9,0.0316205993294715,0.0006653981981799,0.0,0.0743961259722709,0.1066821217536926,0.4051311701726219,0.6003969836493634,0.4230532355133926,0.4963600217568606,0.6273701872144559,0.5961679185679131,0.6440568795520983,0.6191878277292191,0.0009054634122155,0.0322859975276514,2.3042845712371105,-0.045129812785544066
10,0.0310237277299165,0.0006637732731178,0.0,0.0738792791962623,0.1055667847394943,0.3973280144739524,0.6128698580160974,0.4160084710051755,0.4956058366997916,0.6237487401739042,0.607273845686171,0.6372029265553518,0.6218784959638481,0.000886404055174,0.0316875010030343,2.331495916539974,-0.04875125982609574
11,0.0304734837263822,0.0006631255382671,0.0,0.073330134153366,0.1044667437672615,0.4097138459223304,0.6044461866610655,0.4284664671370379,0.5014652908371542,0.6279273742420917,0.6214634327014055,0.628079070270023,0.624753738411795,0.0008658394705735,0.0311366092646493,2.355109817120186,-0.044572625757908324
12,0.0299686174839735,0.0006632872391492,0.0,0.0725714862346649,0.1032033935189247,0.4283337766312908,0.6063334448589651,0.4435392378256312,0.5123148329057492,0.6426185604940557,0.6159154461724758,0.6390691836363936,0.6272787284007381,0.0008438508174347,0.0306319047231227,2.3691470343832286,-0.02988143950594424
13,0.0295120421797037,0.0006622069049626,0.0,0.0724662691354751,0.1026405170559883,0.4216608542365784,0.6169465818073272,0.4365268878780348,0.5112872399601656,0.6356003110210103,0.6114393154019707,0.646317406034114,0.6283947691039363,0.0008205248749256,0.0301742490846663,2.4015931243140307,-0.03689968897898965
14,0.0290389209985733,0.0006608513067476,0.0,0.0714359730482101,0.1011357456445694,0.4132492430017691,0.6048315187655516,0.4274724206113386,0.5009160258456545,0.6294956569108586,0.6081026327728523,0.6323715520768242,0.6199996910942116,0.0007959536998847,0.0296997723053209,2.4052700576767263,-0.04300434308914136
15,0.0286167152225971,0.0006594690494239,0.0,0.0708110779523849,0.1000872626900672,0.4303580361333532,0.6206220970241079,0.4446119628904555,0.5180758279419091,0.6449453579455069,0.6157548945369975,0.6555021552791953,0.6350071538263248,0.0007702342635146,0.029276184272021,2.4187263371490566,-0.027554642054493095
