sequence,mAP50
03_7951_1500-2999,0.006632
20190925_130434_1_1,0.000000
20190925_130434_1_5,0.665429
20190925_130434_1_6,0.887828
20190925_130434_1_8,0.788631
20190925_131530_1_3,0.727874
20190925_133630_1_9,0.546101
20190925_140917_1_3,0.429248
20190925_140917_1_6,0.385869
20190925_141417_1_1,0.733822
20190925_141417_1_6,0.384800
20190925_141417_1_7,0.481971
20190925_143900_1_1,0.542761
20190925_143900_1_2,0.647685
20190925_143900_1_7,0.329887
20190925_152412_1_3,0.270076
20190925_152412_1_5,0.346391
20190925_183946_1_1,0.314326
20190925_183946_1_2,0.711194
20190925_183946_1_3,0.827477
20190925_194211_1_3,0.486398
20190925_194211_1_4,0.734135
20190925_200320_1_4,0.951672
20190925_200320_1_8,0.995000
20190925_205804_1_5,0.449536
20190925_205804_1_6,0.598846
20190925_210802_1_3,0.800506
20190925_210802_1_6,0.677888
20190925_210802_1_8,0.882517
20190925_213001_1_1,0.399005
20190925_213001_1_3,0.743769
20190925_222534_1_5,0.983046
20190925_222534_1_7,0.739337
20190925_222534_1_8,0.423350
20190926_095902_1_3,0.607203
20190926_095902_1_8,0.572973
20190926_103046_1_2,0.127970
20190926_103046_1_8,0.905863
20190926_130341_1_5,0.888126
20190926_133516_1_2,0.994042
20190926_133516_1_3,0.993680
20190926_133516_1_5,0.283416
20190926_133516_1_6,0.580964
20190926_141816_1_2,0.694025
20190926_141816_1_4,0.985655
20190926_141816_1_6,0.536930
20190926_141816_1_9,0.599249
20190926_142435_1_9,0.701720
20190926_143632_1_2,0.934113
20190926_143632_1_4,0.994249
20190926_143632_1_8,0.726055
20190926_144550_1_1,0.622985
20190926_144550_1_10,0.995000
20190926_144550_1_4,0.910752
20190926_144550_1_7,0.875197
20190926_183400_1_1,0.640331
20190926_183400_1_4,0.988423
20190926_183400_1_6,0.631711
20190926_183941_1_3,0.787132
20190926_183941_1_5,0.978006
20190926_195921_1_1,0.386958
20190926_195921_1_5,0.488534
20190926_195921_1_6,0.418151
20190926_195921_1_8,0.840585
20190926_200510_1_2,0.412727
20190926_200510_1_3,0.568062
20190926_200510_1_4,0.506673
20190926_200510_1_5,0.906642
20190926_200510_1_6,0.968492
20190926_200510_1_7,0.974872
20190926_200510_1_8,0.819188
3700000000002_091732_1,0.024586
3700000000002_105009_1,0.000274
3700000000002_105103_3,0.000000
3700000000002_105103_6,0.000017
3700000000002_105103_8,0.000000
3700000000002_105837_2,0.000000
3700000000002_110352_1,0.000089
3700000000002_110743_1,0.000080
3700000000002_111356_3,0.000031
3700000000002_143252_1,0.069673
3700000000002_143252_3,0.000053
3700000000002_153139_1,0.055728
3700000000002_162623_2,0.019998
new28_train-new,0.016533
new29_train-new,0.015506
new30_train-new,0.008949
new36_train-new,0.006339
new40_train-new,0.000987
new8_train-new,0.000182
