name,group,n_params,l2_abs,l2_rel,cos_sim,diff_mean,diff_std,diff_max
model.3.cv3.conv.weight,backbone,64,0.047148000448942184,0.30693983276299425,0.9775087833404541,0.0019396357238292694,0.005609168205410242,0.031768798828125
model.3.cv3.bn.weight,backbone,8,0.007501118816435337,0.002631056195471954,0.9999978542327881,0.0015869140625,0.0022715763188898563,0.0048828125
model.3.cv3.bn.bias,backbone,8,0.016114335507154465,0.09879651064997697,0.9968385696411133,0.00243377685546875,0.005506952293217182,0.01605224609375
model.3.cv3.bn.running_mean,backbone,8,0.0004655166994780302,0.4368086717119001,0.9404498338699341,0.0001042485237121582,0.00013615314674098045,0.0004189014434814453
model.3.cv3.bn.running_var,backbone,8,0.0006973728886805475,0.9666500660549688,0.9103184938430786,0.00014256685972213745,0.00021505032782442868,0.0005530118942260742
model.3.m.0.cv1.conv.weight,backbone,16,0.0011740546906366944,0.5990895428239466,0.8080424070358276,0.00020445510745048523,0.0002174969995394349,0.0008959174156188965
model.3.m.0.cv1.bn.weight,backbone,4,0.0,0.0,1.0,0.0,0.0,0.0
model.3.m.0.cv1.bn.bias,backbone,4,0.006079052574932575,0.005696016442667725,0.9999967217445374,0.0020751953125,0.0025644451379776,0.005859375
model.3.m.0.cv1.bn.running_mean,backbone,4,3.3689069823594764e-05,0.8482125403933265,0.5454714298248291,1.080334186553955e-05,1.4923188246029895e-05,3.266334533691406e-05
model.3.m.0.cv1.bn.running_var,backbone,4,0.0,0.0,0.0,0.0,0.0,0.0
model.3.m.0.cv2.conv.weight,backbone,144,0.06937449425458908,0.37635512568683344,0.9538000822067261,0.0024027000181376934,0.00527662318199873,0.0358734130859375
model.3.m.0.cv2.bn.weight,backbone,4,0.00830078125,0.0040107738860538835,0.9999967217445374,0.0030517578125,0.0032480796799063683,0.005859375
model.3.m.0.cv2.bn.bias,backbone,4,0.001236715237610042,0.009839632477095529,0.9999532103538513,0.000492095947265625,0.00043236976489424706,0.0010528564453125
model.3.m.0.cv2.bn.running_mean,backbone,4,0.061642713844776154,0.29475005395357085,0.9891931414604187,0.021945953369140625,0.024988830089569092,0.05645751953125
model.3.m.0.cv2.bn.running_var,backbone,4,2.849713018804323e-05,0.4746084910386355,0.9857529401779175,1.0162591934204102e-05,1.1532176358741708e-05,2.3126602172851562e-05
model.4.spatial_attention.conv.weight,other,98,0.2671351730823517,4.229931222493361,-0.028416048735380173,0.02203424647450447,0.015657881274819374,0.0470123291015625
model.4.channel_attention.f1.weight,other,16,0.0,0.0,1.0,0.0,0.0,0.0
model.4.channel_attention.f2.weight,other,16,0.0,0.0,0.9999998807907104,0.0,0.0,0.0
model.5.cv1.conv.weight,other,128,0.29422861337661743,0.39787036211576216,0.9367604851722717,0.016161317005753517,0.0204551350325346,0.1168212890625
model.5.cv1.bn.weight,other,8,0.08816147595643997,0.0327419099307003,0.9994651079177856,0.0257568359375,0.01876595988869667,0.06201171875
model.5.cv1.bn.bias,other,8,0.09453047811985016,0.18987663320912582,0.9856005907058716,0.025313377380371094,0.02332954667508602,0.075439453125
model.5.cv1.bn.running_mean,other,8,0.10324864834547043,0.6057799449010578,0.9541124701499939,0.026762008666992188,0.026540111750364304,0.08599853515625
model.5.cv1.bn.running_var,other,8,0.048762042075395584,0.6832180844582415,0.9280102252960205,0.012870311737060547,0.01226247102022171,0.03702545166015625
model.5.cv2.conv.weight,other,128,0.193334698677063,0.3109570927412958,0.9569128155708313,0.010939383879303932,0.013179716654121876,0.063720703125
model.5.cv2.bn.weight,other,8,0.03282760828733444,0.011017324490438227,0.9999414086341858,0.00927734375,0.007455574348568916,0.0205078125
model.5.cv2.bn.bias,other,8,0.08170149475336075,0.16662992917070057,0.9925748109817505,0.021427154541015625,0.020709386095404625,0.06640625
model.5.cv2.bn.running_mean,other,8,0.02154780924320221,0.1895310203320548,0.9844878315925598,0.006024837493896484,0.004984529688954353,0.013500213623046875
model.5.cv2.bn.running_var,other,8,0.028869252651929855,0.516552992570008,0.9929648637771606,0.008422374725341797,0.006163748446851969,0.0189208984375
