epoch,loss_cst,loss_replay,loss_total,mAP50_T3,P_T3,R_T3,F1_T3,mAP50_T1,P_T1,R_T1,F1_T1,fm_abs,fm_stage3,mAP50_T1_tiny,mAP50_T1_small,mAP50_T1_normal,mAP50_T1_large,lr
0,0.07546986639499664,0.03251027315855026,0.1079801395535469,0.035141221170832536,0.08590691857414641,0.11841364125147218,0.09957442408870026,0.42263074287460217,0.42608680615878186,0.5523625493402038,0.4810762931517592,-0.24986925712539781,-0.21772714253536146,0.5354263411814302,0.29398702948804023,0.4839272682056331,0.13706447142100714,0.0004527317061077995
1,0.05459241569042206,0.014260705560445786,0.06885312497615814,0.048731228634457294,0.13762489813857284,0.09872497311690306,0.11497374038558802,0.41020007235600436,0.40965198420272864,0.5482666930915457,0.4689302840020167,-0.2622999276439956,-0.23015781305395927,0.26270210695322554,0.2630682716051363,0.4680990932233422,0.11873904568495838,0.00032898170610779956
2,0.04655562713742256,0.009192905388772488,0.055748533457517624,0.0644807608001855,0.16857928659370597,0.10246300373803062,0.1274571584475937,0.3618918861034572,0.3831167893493729,0.5005697864539463,0.4340378018240271,-0.3106081138965428,-0.27846599930650645,0.0928375585241448,0.23190292263485007,0.415053829508938,0.07873927450611365,0.00017601829389220054
3,0.04192254692316055,0.006241100374609232,0.04816364869475365,0.059166554554408377,0.15036216274849662,0.09570382508064929,0.11696239898398299,0.37322796919912227,0.39796447629646897,0.49024132229440653,0.43930951902206183,-0.2992720308008777,-0.26712991621084137,0.09745942627533513,0.21277252910308944,0.4334150273773266,0.103582642353629,5.22682938922005e-05
4,0.039002131670713425,0.004289771430194378,0.04329190403223038,0.06044338268984656,0.15901514836852162,0.09783294999125586,0.12113713247273875,0.36347835543477,0.39781417823193216,0.47351731655353513,0.43237712234816844,-0.30902164456523,-0.27687952997519366,0.11549050057943602,0.21869513354995795,0.42174843479133467,0.08518727930855025,5.000000000000005e-06
