epoch,loss_box,loss_obj,loss_cls,loss_total,mAP50,mAP50-95,precision,recall,f1,lr
0,0.027551179751753807,0.0011990189086645842,0.0,0.02875019796192646,1.243991944189918e-06,1.243991944189918e-06,2.488598420561854e-06,0.0004294042841335117,4.948517868400443e-06,0.009997557473810372
1,0.02058083564043045,0.0009125850046984851,0.0,0.021493420004844666,0.40696224490740596,0.40696224490740596,0.44073461500964545,0.4972171299278271,0.467275212222246,0.009990232305719944
2,0.019148394465446472,0.0006526580546051264,0.0,0.019801052287220955,0.1321490494452793,0.1321490494452793,0.2748571057931095,0.2278815504797767,0.2491746462978158,0.009978031724785246
3,0.018277861177921295,0.00045117264380678535,0.0,0.018729032948613167,0.530554470900813,0.530554470900813,0.5114726004752349,0.5684499512776336,0.53845819655876,0.009960967771506665
4,0.01755189336836338,0.0003663405077531934,0.0,0.017918234691023827,0.5756472285439529,0.5756472285439529,0.5277935480019398,0.6025069064242501,0.5626809342455121,0.009939057285945931
5,0.017112191766500473,0.00032875078613869846,0.0,0.01744094304740429,0.6040371779614888,0.6040371779614888,0.569304137181903,0.6066656757337033,0.5873914028883974,0.00991232189110701
6,0.016766110435128212,0.00030798546504229307,0.0,0.017074095085263252,0.6055079263531917,0.6055079263531917,0.5713948269327451,0.6225371186972535,0.5958706281362263,0.0098807879715968
7,0.016517512500286102,0.0002963192528113723,0.0,0.01681383140385151,0.603055440057026,0.603055440057026,0.5658387488917179,0.6226692430923715,0.5928952735043234,0.009844486647586725
8,0.01635528728365898,0.0002864010166376829,0.0,0.016641687601804733,0.6026246327651442,0.6026246327651442,0.5731663397234088,0.6132223488414342,0.5925181393076404,0.009803453744100868
9,0.016130022704601288,0.0002797051565721631,0.0,0.016409728676080704,0.6041199895705138,0.6041199895705138,0.5722464491521035,0.6205717683198732,0.5954301932405425,0.009757729755661011
10,0.016022194176912308,0.0002747885591816157,0.0,0.016296982765197754,0.6035051891151237,0.6035051891151237,0.5747056894185242,0.617731093824836,0.5954421720977857,0.009707359806323416
11,0.01582784578204155,0.00026996948872692883,0.0,0.016097815707325935,0.6017126330898847,0.6017126330898847,0.5664987997393448,0.626467819452014,0.5949760237808691,0.009652393605146845
12,0.015624193474650383,0.0002653484698385,0.0,0.015889542177319527,0.6021386505575158,0.6021386505575158,0.5655434488281288,0.6299691159226412,0.596020346383178,0.009592885397135707
13,0.015362489968538284,0.00026273203548043966,0.0,0.01562522165477276,0.6024834692693277,0.6024834692693277,0.5790357963536181,0.6183256536028671,0.598036102219291,0.009528893909706798
14,0.015202604234218597,0.0002586679474916309,0.0,0.015461272560060024,0.6041461472867605,0.6041461472867605,0.5759428887871929,0.6282184676873276,0.6009459731021672,0.009460482294732422
15,0.015109358355402946,0.0002568464260548353,0.0,0.015366205014288425,0.6060100555252292,0.6060100555252292,0.5871638997719882,0.6199362144333816,0.6031051790865096,0.009387718066217125
16,0.014892499893903732,0.0002534532977733761,0.0,0.015145952813327312,0.6099691497856402,0.6099691497856402,0.5991031456108578,0.6150555748236965,0.606974563375848,0.00931067303366952
17,0.014719761908054352,0.0002511486818548292,0.0,0.014970910735428333,0.6129945599175971,0.6129945599175971,0.595566457719682,0.6253943087416803,0.6101160387238674,0.009229423231234974
18,0.014495531097054482,0.00024923746241256595,0.0,0.014744768850505352,0.617323434114981,0.617323434114981,0.5884112096383418,0.6402583031924557,0.6132408409719303,0.009144048842659082
19,0.0144300926476717,0.00024661613861098886,0.0,0.014676708728075027,0.6223410949517709,0.6223410949517709,0.5991623195028822,0.6343581175960057,0.6162581011275692,0.00905463412215599
20,0.014141438528895378,0.0002437099174130708,0.0,0.014385148882865906,0.6275839139362656,0.6275839139362656,0.6098290356451176,0.6305711368320657,0.620026660447788,0.008961267311259668
21,0.014012830331921577,0.00024137998116202652,0.0,0.014254210516810417,0.6304811752806819,0.6304811752806819,0.6053950274212858,0.6380287040248394,0.621283630029255,0.008864040551740157
22,0.013866542838513851,0.00024080397270154208,0.0,0.014107346534729004,0.6354436676059882,0.6354436676059882,0.6103773301626038,0.6347916563444483,0.6223451444866629,0.008763049794670776
23,0.0137859545648098,0.00023851197329349816,0.0,0.014024466276168823,0.6396793958850443,0.6396793958850443,0.6057706895691247,0.6419924358783795,0.62335581593779,0.008658394705735989
24,0.013671408407390118,0.00023685695487074554,0.0,0.01390826515853405,0.6453608082737889,0.6453608082737889,0.6235489129971584,0.6277395167550248,0.6256371976451167,0.00855017856687341
25,0.013522733002901077,0.00023565013543702662,0.0,0.013758382759988308,0.6500218272704069,0.6500218272704069,0.6363245645111647,0.6201423640357396,0.6281292579444684,0.008438508174347008
