epoch,loss_box,loss_obj,loss_cls,loss_total,mAP50,mAP50-95,precision,recall,f1,lr,loss_det,loss_kd,mAP50_T2,mAP50_T1,kd_ratio,FM,P_T2,R_T2,F1_T2
0,0.0275511797517538,0.0011990189086645,0.0,0.0287501979619264,1.243991944189918e-06,1.243991944189918e-06,2.488598420561854e-06,0.0004294042841335,4.948517868400443e-06,0.0099975574738103,0.0287501986604183,0.0,1.243991944189918e-06,0.6725,0.0,0.0,2.488598420561854e-06,0.0004294042841335,4.948517868400443e-06
1,0.0205808356404304,0.0009125850046984,0.0,0.0214934200048446,0.4069622449074059,0.4069622449074059,0.4407346150096454,0.4972171299278271,0.467275212222246,0.0099902323057199,0.021493420645128797,0.0,0.4069622449074059,0.6725,0.0,0.0,0.4407346150096454,0.4972171299278271,0.467275212222246
2,0.0191483944654464,0.0006526580546051,0.0,0.0198010522872209,0.1321490494452793,0.1321490494452793,0.2748571057931095,0.2278815504797767,0.2491746462978158,0.0099780317247852,0.019801052520051498,0.0,0.1321490494452793,0.6725,0.0,0.0,0.2748571057931095,0.2278815504797767,0.2491746462978158
3,0.0182778611779212,0.0004511726438067,0.0,0.0187290329486131,0.530554470900813,0.530554470900813,0.5114726004752349,0.5684499512776336,0.53845819655876,0.0099609677715066,0.0187290338217279,0.0,0.530554470900813,0.6725,0.0,0.0,0.5114726004752349,0.5684499512776336,0.53845819655876
4,0.0175518933683633,0.0003663405077531,0.0,0.0179182346910238,0.5756472285439529,0.5756472285439529,0.5277935480019398,0.6025069064242501,0.5626809342455121,0.0099390572859459,0.0179182338761164,0.0,0.5756472285439529,0.6725,0.0,0.0,0.5277935480019398,0.6025069064242501,0.5626809342455121
5,0.0171121917665004,0.0003287507861386,0.0,0.0174409430474042,0.6040371779614888,0.6040371779614888,0.569304137181903,0.6066656757337033,0.5873914028883974,0.009912321891107,0.017440942552639,0.0,0.6040371779614888,0.6725,0.0,0.0,0.569304137181903,0.6066656757337033,0.5873914028883974
6,0.0167661104351282,0.0003079854650422,0.0,0.0170740950852632,0.6055079263531917,0.6055079263531917,0.5713948269327451,0.6225371186972535,0.5958706281362263,0.0098807879715968,0.0170740959001704,0.0,0.6055079263531917,0.6725,0.0,0.0,0.5713948269327451,0.6225371186972535,0.5958706281362263
7,0.0165175125002861,0.0002963192528113,0.0,0.0168138314038515,0.603055440057026,0.603055440057026,0.5658387488917179,0.6226692430923715,0.5928952735043234,0.0098444866475867,0.016813831753097398,0.0,0.603055440057026,0.6725,0.0,0.0,0.5658387488917179,0.6226692430923715,0.5928952735043234
8,0.0163552872836589,0.0002864010166376,0.0,0.0166416876018047,0.6026246327651442,0.6026246327651442,0.5731663397234088,0.6132223488414342,0.5925181393076404,0.0098034537441008,0.0166416883002965,0.0,0.6026246327651442,0.6725,0.0,0.0,0.5731663397234088,0.6132223488414342,0.5925181393076404
9,0.0161300227046012,0.0002797051565721,0.0,0.0164097286760807,0.6041199895705138,0.6041199895705138,0.5722464491521035,0.6205717683198732,0.5954301932405425,0.009757729755661,0.016409727861173302,0.0,0.6041199895705138,0.6725,0.0,0.0,0.5722464491521035,0.6205717683198732,0.5954301932405425
10,0.0160221941769123,0.0002747885591816,0.0,0.0162969827651977,0.6035051891151237,0.6035051891151237,0.5747056894185242,0.617731093824836,0.5954421720977857,0.0097073598063234,0.0162969827360939,0.0,0.6035051891151237,0.6725,0.0,0.0,0.5747056894185242,0.617731093824836,0.5954421720977857
11,0.0158278457820415,0.0002699694887269,0.0,0.0160978157073259,0.6017126330898847,0.6017126330898847,0.5664987997393448,0.626467819452014,0.5949760237808691,0.0096523936051468,0.016097815270768402,0.0,0.6017126330898847,0.6725,0.0,0.0,0.5664987997393448,0.626467819452014,0.5949760237808691
12,0.0156241934746503,0.0002653484698385,0.0,0.0158895421773195,0.6021386505575158,0.6021386505575158,0.5655434488281288,0.6299691159226412,0.596020346383178,0.0095928853971357,0.0158895419444888,0.0,0.6021386505575158,0.6725,0.0,0.0,0.5655434488281288,0.6299691159226412,0.596020346383178
13,0.0153624899685382,0.0002627320354804,0.0,0.0156252216547727,0.6024834692693277,0.6024834692693277,0.5790357963536181,0.6183256536028671,0.598036102219291,0.0095288939097067,0.0156252220040186,0.0,0.6024834692693277,0.6725,0.0,0.0,0.5790357963536181,0.6183256536028671,0.598036102219291
14,0.0152026042342185,0.0002586679474916,0.0,0.01546127256006,0.6041461472867605,0.6041461472867605,0.5759428887871929,0.6282184676873276,0.6009459731021672,0.0094604822947324,0.0154612721817101,0.0,0.6041461472867605,0.6725,0.0,0.0,0.5759428887871929,0.6282184676873276,0.6009459731021672
15,0.0151093583554029,0.0002568464260548,0.0,0.0153662050142884,0.6060100555252292,0.6060100555252292,0.5871638997719882,0.6199362144333816,0.6031051790865096,0.0093877180662171,0.0153662047814577,0.0,0.6060100555252292,0.6725,0.0,0.0,0.5871638997719882,0.6199362144333816,0.6031051790865096
16,0.0148924998939037,0.0002534532977733,0.0,0.0151459528133273,0.6099691497856402,0.6099691497856402,0.5991031456108578,0.6150555748236965,0.606974563375848,0.0093106730336695,0.015145953191676999,0.0,0.6099691497856402,0.6725,0.0,0.0,0.5991031456108578,0.6150555748236965,0.606974563375848
