epoch,loss_box_mean,loss_box_std,loss_obj_mean,loss_obj_std,loss_cls_mean,loss_cls_std,loss_kd_mean,loss_kd_std,loss_total_mean,loss_total_std,mAP50_T2_mean,mAP50_T2_std,P_T2_mean,P_T2_std,R_T2_mean,R_T2_std,F1_T2_mean,F1_T2_std,mAP50_T1_mean,mAP50_T1_std,P_T1_mean,P_T1_std,R_T1_mean,R_T1_std,F1_T1_mean,F1_T1_std,lr_mean,lr_std,loss_det_mean,loss_det_std,kd_ratio_mean,kd_ratio_std
0,0.05747247363130243,1.2404284403963566e-06,0.0005755062059809333,2.3256661946434655e-08,0.0,0.0,0.07907243321339284,5.653475485960694e-06,0.13712041576703385,4.5874364836100795e-06,0.40164835567176854,0.0008219303448736098,0.6384633246407486,0.004550886180770923,0.39989852098834167,0.002349397784649197,0.4917633340157305,0.0008904947510585913,0.6650780733465532,0.0005992710273065119,0.6434615897908778,0.0032257434202085876,0.6650265737246628,0.0032893347917158557,0.6540558364102472,0.0005315501316835745,0.0009990232305719,0.0,0.05804797983728336,1.2187409230362841e-06,1.3621909587234653,0.00012376914371182437
1,0.04494341462850567,9.210175118810644e-06,0.0006445001927204,1.0348315379273353e-07,0.0,0.0,0.07885285218556716,6.123898397696845e-05,0.12444076687097544,5.469105525706602e-05,0.4010683360366732,0.0027431568211545455,0.6211779367475848,0.0056735388256495935,0.4093058601923984,0.002074766346799001,0.49345293658336126,0.0024379789321503724,0.6493711895104212,0.0007904120678268194,0.6325875617477488,0.006163698901709432,0.6438098517983398,0.007895216972910133,0.6380979897852564,0.0007507515039279488,0.0009960967771506,0.0,0.04558791482122607,9.107482973164176e-06,1.7296878075516975,0.0016202223548190198
2,0.0403015663226445,6.070648685335613e-06,0.0006576286201986,7.926747247204966e-08,0.0,0.0,0.07769081493218737,0.00010358676829370114,0.1186500067512194,9.828444975212233e-05,0.41205459274999984,0.003507928610053151,0.6273689158415013,0.004291163015780612,0.420488883606516,0.002269876609521701,0.5034998749544277,0.0020203611839015893,0.6564154822913166,0.0026538652181646917,0.6387228950758571,0.007907617307404016,0.6540277911013124,0.004839531314990904,0.6462428567780377,0.0017407510566551274,0.0009912321891107,0.0,0.0409591949428431,5.994753904126677e-06,1.8967859391739816,0.002779403769466883
3,0.037762651840845665,2.561126685481334e-05,0.0006628123034412332,2.802788349174531e-07,0.0,0.0,0.07726740092039107,8.005471824473202e-05,0.11569286386171969,7.028744317357435e-05,0.3889154467483891,0.004909049937101886,0.6113798334572824,0.010298102749351749,0.4040619046075497,0.004745463301374464,0.4865139621412627,0.0037842177435673066,0.6424283229151816,0.002350018077746653,0.6228930565154435,0.0045973843787813105,0.6536255168681647,0.00442325897822845,0.6378770562762953,0.0029327016700692187,0.0009844486647586,0.0,0.0384254641442869,2.533185771940226e-05,2.0108395135479955,0.002995786837857387
4,0.03618748486042017,1.2589417802047712e-05,0.0006646044009054334,1.894978747599998e-07,0.0,0.0,0.07695328444242473,0.00011580323095587126,0.1138053735097249,0.0001036868620352153,0.4112732614802677,0.0022296797874937447,0.6285008286954825,0.01306622779528205,0.41997025063658594,0.004981334352752405,0.5034189103532479,0.0024109039321445285,0.6427581327701958,0.004487715724399595,0.6273199176749058,0.002411009307611412,0.6440172171444902,0.006350440771356239,0.6355445635480984,0.0029420351187790057,0.0009757729755661,0.0,0.036852089261325605,1.2401904490009143e-05,2.0881669735026986,0.003833391628193042
5,0.03482756763696667,1.1170179686252548e-05,0.0006657823105342334,2.8341515126039404e-07,0.0,0.0,0.07672283053398131,0.00012354129414209007,0.11221617956956224,0.00012473786007269328,0.4142177030510897,0.004134177195539542,0.6252012299845721,0.0013838554213070327,0.4245154923591677,0.005407139232558465,0.5056570170646078,0.00341374623937452,0.637268757364598,0.00030700055236075813,0.6192313395960531,0.005723166659444698,0.6446207360958697,0.0059042220367281975,0.6316355484034836,0.00042822873593318034,0.0009652393605146,0.0,0.035493349947500905,1.1184056762259413e-05,2.1616115163724587,0.003505559508612848
6,0.0338348137835661,1.058429800398766e-05,0.0006659819822137,2.759815273538999e-07,0.0,0.0,0.0759707242250442,8.841485802645755e-05,0.1104715193311373,8.03444379121557e-05,0.4118492987675819,0.001946328507703077,0.6214051823129837,0.0034425908941178003,0.42366190892949107,0.0016214961941322153,0.5038221944667735,0.0016993617921514119,0.6386610816512684,0.0011303988122455982,0.620452548207055,0.00608052450990926,0.6456030929716925,0.007436279447054061,0.6327327687475715,0.0017020911760255916,0.0009528893909706001,0.0,0.0345007957657798,1.0321843109696263e-05,2.2019997296033673,0.0031177357055200048
7,0.0330535285174846,2.761008875739756e-05,0.0006660114352901335,6.496314840003356e-08,0.0,0.0,0.07554760575294493,0.00010980639370596403,0.10926714787880576,0.0001367453108220181,0.41968124627064823,0.004975132925374546,0.6166428440067501,0.007466706936055247,0.4360802872650394,0.003870797624600483,0.5108654152240172,0.004413822854338702,0.6390946445932073,0.0033784533270501435,0.6216678525543933,0.005349475282674455,0.6423833038806036,0.010491018787365504,0.6317915615137325,0.002561460600371826,0.0009387718066217,0.0,0.033719539952774734,2.759599964394167e-05,2.240468922923819,0.001542108066320019
8,0.032308978339036266,2.3629398999287545e-05,0.0006651702569797001,2.1763404623803819e-07,0.0,0.0,0.07500421255826946,4.2181144725823456e-05,0.10797836134831107,4.922141154609818e-05,0.4092433059866813,0.003848798596803005,0.6201511898943699,0.0023006122370265187,0.42744663977746394,0.004028423119481455,0.506066799686837,0.00295381595364674,0.6422169295932266,0.0029292999429291647,0.6275880279808104,0.0007848907237157983,0.6450643280648731,0.00240713778248375,0.6362050009093626,0.001404059697871389,0.0009229423231234,0.0,0.03297414859601597,2.3486612925558003e-05,2.274637563088742,0.0020179998491262085
9,0.03161184862256043,8.713692907580828e-06,0.0006649840118673665,5.365177414560211e-07,0.0,0.0,0.07450480014085767,9.475576697358937e-05,0.10678163419167197,8.745970286682433e-05,0.413828067552332,0.007923253240265273,0.6034674504079088,0.002674836411496188,0.43296848944545885,0.008710778393421489,0.5041737418195599,0.006853711101539775,0.632083372705389,0.005826317662930701,0.6065325427080853,0.00979025124845,0.6429943792080244,0.001073680087221929,0.6242007975054723,0.004919901547781257,0.0009054634122155,0.0,0.0322768326344278,8.844262975352969e-06,2.3083063710645866,0.0034835265993843107
10,0.03102116721371807,1.1603921445004293e-05,0.0006637154147028333,5.708883822747061e-08,0.0,0.0,0.0738642240564028,9.337644166000805e-05,0.1055491094787915,0.00010500146357203106,0.40590872403390216,0.00860503580220501,0.6102881170684588,0.01121909590363145,0.4259813508227896,0.01209380745638671,0.5015820905300549,0.005559301615056556,0.6261332359897882,0.002299770956647007,0.609644874713733,0.0037787410862596244,0.6377864759671231,0.005687331126959303,0.6233769662078696,0.001671941661749149,0.000886404055174,0.0,0.0316848826284209,1.1640433127749966e-05,2.3312129235523904,0.002092665328801689
11,0.03048986196517937,1.4262516436235183e-05,0.0006632497146104333,1.078525967745161e-07,0.0,0.0,0.07356303930282587,0.0002018382382847519,0.10471615195274349,0.00021617740376946227,0.4084390788311831,0.00526783950214574,0.6073556079161279,0.002671242170375062,0.42843405257641726,0.00521341741059469,0.5024306685477633,0.003983698710655028,0.6263502932493593,0.0017607974097056745,0.6118100322210287,0.008398813703495748,0.6384668622821014,0.010370697906691359,0.6247649828233602,0.0020040221429227954,0.0008658394705735,0.0,0.0311531116797898,1.4368617050546049e-05,2.361336759954194,0.005394147174288775
12,0.02996210753917693,9.940609090376261e-06,0.0006627619150094333,5.046615110982742e-07,0.0,0.0,0.07269034286340074,0.00010313071198894287,0.10331521431605019,9.68525925195552e-05,0.4219941047975866,0.0061991117613640415,0.5995848275370951,0.005850419915169977,0.4417708434628835,0.002777926234195562,0.5087138063641615,0.003433571335271354,0.6369340768234227,0.005137811653999432,0.6145996577997171,0.0031979643464791875,0.6413593398184391,0.004774974466628458,0.6276777250637546,0.0006172508818120316,0.0008438508174347,0.0,0.030624869454186368,1.0031128962484447e-05,2.3735729855439227,0.003921142987493386
13,0.029526021331548663,1.3001655278545709e-05,0.0006617303588427,5.57941538482532e-07,0.0,0.0,0.07237764696280156,0.00010373525810084325,0.10256539781888323,9.17333093735951e-05,0.42108816069164945,0.0011280127546061992,0.6105249559583084,0.006532941117624996,0.43937113665969285,0.0033552754967541335,0.5109696936633985,0.0004198162448224951,0.6326000562500326,0.003460963483105942,0.6136277133440192,0.004270861479168558,0.6430707505103831,0.00800790073473496,0.627964934345195,0.0016382433739505133,0.0008205248749256,0.0,0.030187751690391364,1.2764099581341057e-05,2.397584425496488,0.004408621231786986
14,0.029052658006548836,1.329999396918557e-05,0.0006606969206282999,3.429960509651216e-07,0.0,0.0,0.0716360211372375,0.00017435386428225362,0.10134937614202495,0.0001855375143666898,0.42007469352684174,0.006215534052311528,0.6091804777849305,0.009144865669690755,0.4357896557157055,0.007410905165483679,0.5080652212087781,0.006431210012925183,0.6332662758486519,0.003664436270975652,0.6081083641275195,0.005244238142134902,0.6422757607155617,0.010048867101469508,0.6246774711953339,0.004064572820726746,0.0007959536998847,0.0,0.029713354927177135,1.3041077992283241e-05,2.410902008755416,0.005003763623935923
