epoch,loss_box,loss_obj,loss_cls,loss_kd,loss_total,mAP50_T2,P_T2,R_T2,F1_T2,mAP50_T1,P_T1,R_T1,F1_T1,lr,loss_det,kd_ratio,FM
0,0.0574721433222293,0.0005755026359111,0.0,0.0790710672736167,0.137118712067604,0.4012673600401453,0.64300838610768,0.3971864161381293,0.491050706797359,0.6647329941862745,0.6401474761585929,0.6676906307288312,0.653629023141152,0.0009990232305719,0.0580476459581404,1.362175260806866,-0.007767005813725469
1,0.0449523143470287,0.0006444089813157,0.0,0.0788334980607032,0.1244302242994308,0.4041004111112093,0.6252838794450495,0.4112867500081036,0.49619575801619,0.6485587840165276,0.6357218584527896,0.6391517613833424,0.6374321960355878,0.0009960967771506,0.0455967233283444,1.7289290173614036,-0.02394121598347243
2,0.0403079725801944,0.000657559139654,0.0,0.0776150673627853,0.1185805946588516,0.4080338061241281,0.6252160192065346,0.4182558805415393,0.5012119189889814,0.6539470051011737,0.6381628137925529,0.6535167945591652,0.6457485490674493,0.0009912321891107,0.040965531719848396,1.8946432305987873,-0.018552994898826336
3,0.0377756878733634,0.0006626928225159,0.0,0.0771753340959549,0.1156137138605117,0.3908548663804509,0.6232663340048532,0.4022863070091085,0.4889685848637086,0.6426637011893837,0.6279602342108653,0.6513586394911811,0.6394454615158209,0.0009844486647586,0.0384383806958793,2.007767567123881,-0.029836298810616335
4,0.036186009645462,0.0006646575639024,0.0,0.0769395381212234,0.1137902066111564,0.4106082317816578,0.6335247101297937,0.415316960378602,0.5017221651925865,0.6442115094104468,0.6298230278520442,0.6389035827430848,0.6343308095351045,0.0009757729755661,0.036850667209364404,2.0878736789759897,-0.028288490589553184
5,0.034823790192604,0.0006654661265201,0.0,0.0765849873423576,0.1120742410421371,0.4124826287545893,0.6265732167177813,0.4209354842195114,0.5035698512901705,0.6371171755090643,0.6219699643009494,0.6409817445170678,0.6313327579689537,0.0009652393605146,0.035489256319124106,2.157976674730438,-0.03538282449093566
6,0.0338254757225513,0.0006661510560661,0.0,0.0760726481676101,0.1105642765760421,0.4130888041119743,0.621172456175483,0.4255059372670203,0.5050502041989946,0.6399340420495705,0.6221297532765289,0.6476715557487164,0.6346437703572467,0.0009528893909706,0.0344916267786174,2.20553958366976,-0.03256595795042949
7,0.0330399572849273,0.000666084641125,0.0,0.0755232498049736,0.1092292964458465,0.4153395420315733,0.6083893133145947,0.4354355976704736,0.5075839088941979,0.6359902699990885,0.6260355265044611,0.6317362797073445,0.6288729839949322,0.0009387718066217,0.033706041926052296,2.240644272870231,-0.03650973000091151
8,0.0323136821389198,0.0006649554707109,0.0,0.0749566033482551,0.1079352423548698,0.4135466636752645,0.6221131006551214,0.4306814621127811,0.508993091843563,0.6390165411432078,0.6269066835290994,0.6424713868106823,0.6345936104914974,0.0009229423231234,0.032978637609630705,2.272883562785285,-0.03348345885679216
9,0.0316117741167545,0.0006643779342994,0.0,0.0745701417326927,0.1068462952971458,0.4206363788164924,0.6052923823231924,0.4393901740661905,0.5091681173449133,0.6385975355832071,0.6156238117148101,0.643016399940544,0.6290220246593035,0.0009054634122155,0.0322761520510539,2.3103789327931183,-0.0339024644167929
10,0.0310084968805313,0.0006636591278947,0.0,0.0737642347812652,0.1054363921284675,0.4145378814993042,0.5980031994256327,0.4394333934803514,0.5065997807145546,0.6283376998979303,0.6140025415267945,0.6324134172323242,0.623072005372703,0.000886404055174,0.031672156008426,2.3289931623004163,-0.044162300102069674
11,0.0304995458573102,0.0006633035955019,0.0,0.0736869126558303,0.1048497632145881,0.4026508351955018,0.6079231963969204,0.4232045034629556,0.499018374755588,0.6244504385873325,0.6077889162409422,0.6385011354426988,0.6227666065456774,0.0008658394705735,0.0311628494528121,2.364575574677312,-0.048049561412667474
12,0.0299670398235321,0.000662280828692,0.0,0.0727433860301971,0.1033727079629898,0.4159458305175617,0.5964742163657858,0.4385690051971345,0.5054766762343956,0.6355622405922519,0.6109537037612035,0.6468480073989661,0.6283886917699196,0.0008438508174347,0.030629320652224103,2.374959172414423,-0.03693775940774813
13,0.0295377522706985,0.0006618675542995,0.0,0.0722635462880134,0.1024631634354591,0.4197886854217811,0.6107421688122558,0.4385149809294335,0.5104937156262223,0.6333862188096975,0.6108945837937805,0.6489454821714644,0.629345408112981,0.0008205248749256,0.030199619824997997,2.3928627811997742,-0.03911378119030251
14,0.0290654730051755,0.0006603038636967,0.0,0.0717164278030395,0.101442202925682,0.4254090801546512,0.6030216815460016,0.4416916078702553,0.5098999291020865,0.6368143895163368,0.6028669940116127,0.6524632941914813,0.6266854047394653,0.0007959536998847,0.0297257768688722,2.4126006232565733,-0.035685610483663144
15,0.0286239814013242,0.0006591408746317,0.0,0.0709664076566696,0.1002495288848877,0.4241786197352943,0.5991858453942495,0.448390953123479,0.5129352095131923,0.6291528916880621,0.6008327242419788,0.6537349914944921,0.6261684737222257,0.0007702342635146,0.0292831222759559,2.4234576827388388,-0.04334710831193789
16,0.028239119797945,0.0006586774834431,0.0,0.070644810795784,0.0995426103472709,0.4187931616366188,0.586121787164708,0.4403518060312692,0.5028863659875509,0.6252605289471475,0.6037594073752974,0.6373680820492493,0.6201086975785324,0.0007434680686803,0.0288977972813881,2.444643448268592,-0.04723947105285253
17,0.027875630185008,0.0006581249181181,0.0,0.0698394179344177,0.0983731746673584,0.4104762737016021,0.6030703175713238,0.4232430792070215,0.4974023314680927,0.639322420921121,0.6110508727375954,0.6390196369882244,0.624722371802466,0.0007157607493247,0.0285337551031261,2.4476069721478275,-0.03317757907887897
18,0.0275400970131158,0.0006572091369889,0.0,0.0693517103791236,0.0975490137934684,0.4010716462198638,0.59601218600362,0.4205681191991443,0.4931508564634573,0.6258401039314212,0.5942430814627838,0.6467982995985299,0.6194078948594385,0.0006872216535789,0.028197306150104698,2.459515458940626,-0.04665989606857879
